"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 17:07:56 GMT 2023","Mon Oct 23 17:07:56 GMT 2023","418","","Validate users resources","","Create User with empty Gender","","Create User with empty Gender",""
"passed","Mon Oct 23 17:07:49 GMT 2023","Mon Oct 23 17:07:52 GMT 2023","2985","","Validate posts resources","","Delete Post","","Delete Post",""
"passed","Mon Oct 23 17:07:55 GMT 2023","Mon Oct 23 17:07:56 GMT 2023","412","","Validate users resources","","Create User with empty Email","","Create User with empty Email",""
"passed","Mon Oct 23 17:07:58 GMT 2023","Mon Oct 23 17:08:00 GMT 2023","1917","","Validate users resources","","Get Specific User","","Get Specific User",""
"passed","Mon Oct 23 17:07:53 GMT 2023","Mon Oct 23 17:07:55 GMT 2023","2056","","Validate users resources","","Create User with email already taken","","Create User with email already taken",""
"passed","Mon Oct 23 17:07:57 GMT 2023","Mon Oct 23 17:07:58 GMT 2023","1023","","Validate users resources","","Get all users","","Get all users",""
"passed","Mon Oct 23 17:07:40 GMT 2023","Mon Oct 23 17:07:46 GMT 2023","5258","","Validate posts resources","","Create Post","","Create Post",""
"passed","Mon Oct 23 17:07:46 GMT 2023","Mon Oct 23 17:07:49 GMT 2023","3066","","Validate posts resources","","Get Posts by User","","Get Posts by User",""
"passed","Mon Oct 23 17:07:55 GMT 2023","Mon Oct 23 17:07:55 GMT 2023","408","","Validate users resources","","Create User with empty Name","","Create User with empty Name",""
"passed","Mon Oct 23 17:08:01 GMT 2023","Mon Oct 23 17:08:02 GMT 2023","1764","","Validate users resources","","Update user details","","Update user details",""
"passed","Mon Oct 23 17:07:56 GMT 2023","Mon Oct 23 17:07:57 GMT 2023","570","","Validate users resources","","Create User with empty Status","","Create User with empty Status",""
"passed","Mon Oct 23 17:08:00 GMT 2023","Mon Oct 23 17:08:01 GMT 2023","943","","Validate users resources","","Get Invalid User","","Get Invalid User",""
"passed","Mon Oct 23 17:07:52 GMT 2023","Mon Oct 23 17:07:53 GMT 2023","1015","","Validate users resources","","Create User","","Create User",""
